台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
690260306	690260307		1	9026		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690260307	690260311		1	9026		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed04	1
690260308	690260309	1	2					
690260309	690260310		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690260310	690260311		1	9026		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed04	1
690260311	690260312		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690260312	690260313		1	9026		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260313	690260314	1	2					
690260314	690260315		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690260315	690260316		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690260316	690260317		1	9026		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed04	1
690260317	690260318		1	9026			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260318	690260319		1	9026			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260319			1	9026		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260401	690260402	1	2					
690260402	690260403		1	9026		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260403	690260404,690260406		1	9026		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed04	1
690260404	690260405	1	2					
690260405	690260408		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Angry01	
690260406	690260407	1	2					
690260407	690260408		1	9026		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed04	1
690260408	690260409		1	9026			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260409	690260410		1	9026			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260410	690260411		1	9026		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690260411	690260412	1	2					
690260412	690260413		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Angry01	
690260413	690260414		1	9026		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed04	1
690260414	690260415		1	9026		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260415	690260416,690260417		1	9026		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260416	690260418	1	2					
690260417	690260418	1	2					
690260418	690260419		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690260419			1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Angry01	
690260501	690260502	1	2					
690260502	690260503		1	9026			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260503			1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690260601	690260602	1	2					
690260602	690260603		1	9026			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690260603			1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690260701	690260301	1	2					
690260801	690260401	1	2					
690260901	690260202	1	2					
690265001	690265002		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690265002	690265003		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690265003			1	9026		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690265101	690265102		1	9026		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690265102	690265103		1	9026		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690265103			1	9026		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed04	1
690270101	690270102		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270102			1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270201	690270202	1	2					
690270202	690270203		1	9027				
690270203	690270204,690270206		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270204	690270205	1	2					
690270205	690270208		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690270206	690270207	1	2					
690270207	690270208		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690270208	690270209		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270209	690270210		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270210			1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270301	690270302	1	2					
690270302	690270303		1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270303	690270304	1	2					
690270304	690270305		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270305	690270306,690270308		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690270306	690270307	1	2					
690270307	690270310		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed02	1
690270308	690270309	1	2					
690270309	690270310		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270310	690270311		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270311	690270312		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270312	690270313		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270313	690270314		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270314			1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270401	690270402	1	2					
690270402	690270403		1	9027				
690270403	690270404,690270405		1	9027				
690270404	690270406	1	2					
690270405	690270406	1	2					
690270406	690270407,690270410		1	9027				
690270407	690270408	1	2					
690270408	690270409		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270409	690270415		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270410	690270411	1	2					
690270411	690270412		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed02	1
690270412	690270413		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270413	690270414		1	9027				
690270414	690270415	1	2					
690270415	690270416		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed02	1
690270416	690270417		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270417	690270418		1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270418			1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270501	690270502	1	2					
690270502	690270503		1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270503			1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270601	690270602	1	2					
690270602	690270603		1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270603			1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270701	690270301	1	2					
690270702	690270703,690270705		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270703	690270704	1	2					
690270704	690270707		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690270705	690270706	1	2					
690270706	690270707		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690270707	690270708		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270708	690270709		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270709			1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270801	690270401	1	2					
690270802	690270803	1	2					
690270803	690270804		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270804	690270805,690270807		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690270805	690270806	1	2					
690270806	690270809		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed02	1
690270807	690270808	1	2					
690270808	690270809		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270809	690270810		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270810	690270811		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270811	690270812		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690270812	690270813		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270813			1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270901	690270202	1	2					
690270902	690270903,690270904		1	9027				
690270903	690270905	1	2					
690270904	690270905	1	2					
690270905	690270906,690270909,690270913		1	9027				
690270906	690270907	1	2					
690270907	690270908		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270908	690270914		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270909	690270910	1	2					
690270910	690270911		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed02	1
690270911	690270912		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270912	690270914		1	9027				
690270913	690270914	1	2					
690270914	690270915		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed02	1
690270915	690270916		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690270916	690270917		1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690270917			1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690271001	690271002		1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690271002			1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690271101	690271102		1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690271102			1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690275001	690275002		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Angry02	
690275002	690275003		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690275003			1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690275101	690275102		1	9027		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690275102	690275103		1	9027		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690275103			1	9027		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690290101	690290102		1	9029			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690290102			1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290201	690290202	1	2					
690290202	690290203		1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290203	690290204		1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290204	690290205,690290208		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290205	690290206	1	2					
690290206	690290207		1	9029		1050	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290207	690290212		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290208	690290209	1	2					
690290209	690290210		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise02	
690290210	690290211		1	9029		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed05	1
690290211	690290212		1	9029		1110	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle04	
690290212			1	9029		1050	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290301	690290302	1	2					
690290302	690290303		1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290303	690290304,690290305		1	9029			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690290304	690290306	1	2					
690290305	690290306	1	2					
690290306	690290307		1	9029		1050	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290307	690290308		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290308	690290309		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290309	690290310,690290312		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290310	690290311	1	2					
690290311	690290314		1	9029		1050	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290312	690290313	1	2					
690290313	690290314		1	9029				
690290314	690290315		1	9029			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690290315	690290316		1	9029			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690290316	690290317,690290320		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290317	690290318	1	2					
690290318	690290319		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290319	690290323		1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290320	690290321	1	2					
690290321	690290322		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290322	690290323		1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290323			1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290401	690290402	1	2					
690290402	690290403		1	9029		1050	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290403	690290404,690290408		1	9029			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690290404	690290405	1	2					
690290405	690290406		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290406	690290407		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290407	690290410	1	2					
690290408	690290409	1	2					
690290409	690290410		1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290410	690290411		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290411	690290412		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290412	690290413,690290415		1	9029			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690290413	690290414	1	2					
690290414	690290417		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290415	690290416	1	2					
690290416	690290417		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290417	690290418		1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690290418			1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290501	690290502	1	2					
690290502	690290503		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290503			1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690290601	690290602	1	2					
690290602	690290603		1	9029				
690290603			1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690290701	690290301	1	2					
690290801	690290401	1	2					
690290901	690290202	1	2					
690295001	690295002		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690295002	690295003		1	9029		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690295003			1	9029		1050	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690295101	690295102		1	9029		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690295102	690295103		1	9029			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690295103			1	9029		1300	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690300101	690300102		1	9030			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300102			1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300201	690300202	1	2					
690300202	690300203,690300206		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300203	690300204	1	2					
690300204	690300205		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300205			1	9030			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300206	690300207	1	2					
690300207	690300208		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300208	690300209		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300209			1	9030			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300301	690300302	1	2					
690300302	690300303		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300303	690300304,690300309	1	2					
690300304	690300305		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300305	690300306		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300306	690300307		1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300307	690300308	1	2					
690300308			1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300309	690300310	1	2					
690300310	690300311		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300311	690300312		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300312	690300313		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690300313	690300314		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300314	690300315	1	2					
690300315	690300316		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690300316			1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300401	690300402	1	2					
690300402	690300403		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300403	690300404		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300404	690300405		1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300405	690300406		1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300406	690300407		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300407	690300408		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300408	690300409		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690300409	690300410,690300411		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300410	690300412	1	2					
690300411	690300412	1	2					
690300412	690300413		1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300413	690300414,690300415		1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300414	690300416	1	2					
690300415	690300416	1	2					
690300416	690300417		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300417	690300418		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300418	690300419		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690300419			1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690300501	690300502	1	2					
690300502			1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300601	690300602	1	2					
690300602	690300603		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300603			1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690300701	690300301	1	2					
690300801	690300401	1	2					
690300901	690300202	1	2					
690305001	690305002		1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690305002	690305003		1	9030			Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690305003			1	9030		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690305101	690305102		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690305102	690305103		1	9030		1240	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed01	1
690305103			1	9030		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690310101	690310102		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690310102			1	9031				
690310201	690310202	1	2					
690310202	690310203		1	9031		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690310203	690310204,690310206		1	9031				
690310204	690310205	1	2					
690310205	690310208		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690310206	690310207	1	2					
690310207	690310208		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690310208	690310209		1	9031				
690310209	690310210		1	9000				
690310210			1	9031		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690310301	690310302	1	2					
690310302	690310303		1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690310303	690310304		1	9031				
690310304	690310305		1	9000				
690310305	690310306		1	9000				
690310306	690310307	1	2					
690310307	690310308		1	9031		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690310308	690310309		1	9000				
690310309	690310310		1	9000				
690310310	690310311		1	9031		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690310311	690310312		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal03	
690310312	690310313,690310314		1	9031		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690310313	690310315	1	2					
690310314	690310315	1	2					
690310315	690310316		1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690310316	690310317		1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690310317	690310318		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690310318	690310319		1	9000				
690310319	690310320	1	2					
690310320	690310321		1	9031				
690310321	690310322	1	2					
690310322	690310323		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690310323			1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690310401	690310402	1	2					
690310402	690310403		1	9031		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690310403	690310404		1	9031		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Sweat02	
690310404	690310405		1	9031		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690310405	690310406		1	9031				
690310406	690310407		1	9031				
690310407	690310408		1	9000				
690310408	690310409,690310410		1	9031		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690310409	690310411	1	2					
690310410	690310411	1	2					
690310411	690310412		1	9031		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690310412	690310413		1	9000				
690310413	690310414		1	9031				
690310414	690310415		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690310415	690310416		1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690310416			1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690310501	690310502	1	2					
690310502	690310503		1	9031		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed03	1
690310503			1	9000				
690310601	690310602	1	2					
690310602	690310603		1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690310603			1	9000				
690310701	690310301	1	2					
690310801	690310401	1	2					
690310901	690310202	1	2					
690315001	690315002		1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690315002	690315003		1	9031		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Doubt01	
690315003			1	9000				
690315101	690315102		1	9031		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal01	
690315102	690315103		1	9031				
690315103			1	9000				
690320101	690320102		1	9032		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal03	
690320102			1	9032		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690320201	690320202	1	2					
690320202	690320203		1	9032		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690320203	690320204		1	9032		1120	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Normal03	
690320204	690320205		1	9032		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690320205	690320206,690320209		1	9032		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690320206	690320207	1	2					
690320207	690320208		1	9032		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690320208	690320212		1	9032		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690320209	690320210	1	2					
690320210	690320211		1	9032		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690320211	690320212		1	9032		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690320212			1	9032		1230	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Hiclosed01	1
690320301	690320302	1	2					
690320302	690320303		1	9032		1220	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Default01	
690320303	690320304		1	9032		1190	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle01	
690320304	690320305		1	9032		1110	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed05	1
690320305	690320306	1	2					
690320306	690320307		1	9032		1110	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed05	1
690320307	690320308		1	9032				
690320308	690320309		1	9032				
690320309	690320310,690320313		1	9032		1110	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Lowclosed05	1
690320310	690320311	1	2					
690320311	690320312		1	9032		1130	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Gentle03	
690320312	690320315		1	9032		1060	Cs_Emo_Avatar_Common/Cs_Emo_Avatar_Surprise01	
690320313	690320314	1	2					
